i,b,c,etiqueta
1,-1.110936,2.005264,anciano
2,4.540110,2.417568,anciano
3,0.365628,3.843495,mujer
4,4.272995,-0.125049,anciano
5,0.092668,1.026217,anciano
6,6.094218,7.594784,anciana
7,7.230942,17.098389,hombre
8,0.426602,5.077981,anciano
9,5.925318,2.606344,hombre
10,1.865003,4.355698,niño
11,4.881503,0.059811,anciano
12,7.756802,0.729453,anciana
13,10.017590,1.594926,niño
14,6.581318,6.054518,anciana
15,7.152705,9.116739,niña
16,9.209892,6.478316,anciano
17,6.957582,10.477478,niña
18,12.352012,7.059202,anciana
19,12.905338,6.054595,anciano
20,9.743540,3.499841,anciano
21,8.618888,5.538826,niña
22,14.533360,8.938134,anciano
23,13.165891,4.557801,niño
24,11.259884,0.887828,niña
25,16.168217,11.842995,mujer
26,15.696282,7.114029,mujer
27,16.336422,3.617450,hombre
28,14.668400,4.196195,mujer
29,16.872251,11.433703,niño
30,11.596569,-0.988910,hombre
31,18.126921,11.653572,hombre
32,13.184282,0.023399,hombre
33,12.764396,6.760698,niña
34,18.959193,9.246109,niño
35,15.479536,4.515123,mujer
36,20.265349,8.519411,hombre
37,15.905876,5.872303,anciana
38,17.213534,11.246588,hombre
39,17.812957,8.714412,niño
40,17.460879,-4.456745,hombre
